date,sales,promotion
2023-01-01,193.35567247165622,0
2023-01-02,146.5277809061331,1
2023-01-03,172.66122193904172,0
2023-01-04,491.25395255297667,0
2023-01-05,119.43744972009573,0
2023-01-06,349.27968553098407,0
2023-01-07,389.0517972640734,0
2023-01-08,365.32799705047154,0
2023-01-09,271.51904927140714,0
2023-01-10,93.72392684253225,0
2023-01-11,181.09217367910676,0
2023-01-12,557.9148074386173,1
2023-01-13,148.53523667940917,0
2023-01-14,551.6008273094241,0
2023-01-15,380.7036886347914,0
2023-01-16,50.0,0
2023-01-17,246.04947255821514,0
2023-01-18,50.0,0
2023-01-19,178.84463171353056,0
2023-01-20,277.9265671930483,0
2023-01-21,596.9574982637256,0
2023-01-22,510.1573726782017,0
2023-01-23,190.17770564190525,0
2023-01-24,321.6743235590774,0
2023-01-25,412.71550874965254,0
2023-01-26,293.1271106829087,0
2023-01-27,316.3746302737963,0
2023-01-28,273.50622471916586,0
2023-01-29,316.06701978511904,0
2023-01-30,185.69397095537485,0
2023-01-31,145.78433459748544,0
2023-02-01,214.98749536658892,0
2023-02-02,257.43987341620107,0
2023-02-03,786.6255195642881,1
2023-02-04,948.3398350451166,1
2023-02-05,590.1541396844634,0
2023-02-06,283.0937146883399,0
2023-02-07,50.0,0
2023-02-08,145.24786651319434,0
2023-02-09,271.0139462856867,0
2023-02-10,217.72708919748686,0
2023-02-11,645.7985614533802,0
2023-02-12,792.1219500672493,0
2023-02-13,502.0941683730772,0
2023-02-14,294.1028668440217,0
2023-02-15,556.634795260445,0
2023-02-16,362.29804996499695,0
2023-02-17,396.470861386074,0
2023-02-18,512.1212229280173,0
2023-02-19,565.9193269627898,0
2023-02-20,532.4079162820724,1
2023-02-21,401.3423249951828,0
2023-02-22,872.6309260967212,1
2023-02-23,390.9466660028397,0
2023-02-24,563.4632844170256,0
2023-02-25,1121.4528408057245,1
2023-02-26,805.3677578187559,0
2023-02-27,197.77548757624518,0
2023-02-28,50.0,0
2023-03-01,575.9388268482458,0
2023-03-02,238.46033056074108,0
2023-03-03,517.5166998535818,0
2023-03-04,533.4900729388524,0
2023-03-05,446.51967134935484,0
2023-03-06,555.8780911842433,0
2023-03-07,596.404167643017,0
2023-03-08,403.95483468932593,0
2023-03-09,109.70185623081585,0
2023-03-10,524.37264882483,0
2023-03-11,1210.4746511278258,1
2023-03-12,550.4397364181682,0
2023-03-13,557.7924791215675,0
2023-03-14,536.0203046643096,0
2023-03-15,633.2530459611893,0
2023-03-16,572.3511357671443,0
2023-03-17,516.5186881468387,0
2023-03-18,1000.0378583603722,0
2023-03-19,804.8519193968561,0
2023-03-20,582.6189766111764,0
2023-03-21,454.80980613902057,0
2023-03-22,536.3930047836072,0
2023-03-23,478.2482375450632,0
2023-03-24,693.1059579007881,0
2023-03-25,1133.8772427422796,0
2023-03-26,679.400748055275,0
2023-03-27,401.20646929746283,0
2023-03-28,871.9587670837824,0
2023-03-29,627.912957272526,0
2023-03-30,566.9626174667251,0
2023-03-31,931.3029607820025,0
2023-04-01,842.4483529767681,0
2023-04-02,1215.1432569794881,0
2023-04-03,800.8574859025566,0
2023-04-04,633.8823951805247,0
2023-04-05,1038.5375500363002,0
2023-04-06,631.9260245631415,0
2023-04-07,941.9072789536397,0
2023-04-08,1033.2623769234895,0
2023-04-09,1191.3690580867656,0
2023-04-10,988.0358393466731,0
2023-04-11,766.2710712304136,0
2023-04-12,656.0771366043418,0
2023-04-13,845.6611839383103,0
2023-04-14,782.5378902195733,0
2023-04-15,1343.68552817392,0
2023-04-16,1069.590536682583,0
2023-04-17,751.693503999348,0
2023-04-18,841.5221542408766,0
2023-04-19,619.0245926168609,0
2023-04-20,682.5681142873932,0
2023-04-21,1115.5304637325055,0
2023-04-22,994.0321011005109,0
2023-04-23,1467.1739404627917,1
2023-04-24,937.0720381461408,0
2023-04-25,1041.3363257158965,0
2023-04-26,978.1631059812803,0
2023-04-27,1026.4978276551778,0
2023-04-28,870.2714847606312,0
2023-04-29,927.1470993650703,0
2023-04-30,1372.172968149394,0
2023-05-01,855.0498485876722,0
2023-05-02,872.2288948286543,0
2023-05-03,1115.4065688105368,0
2023-05-04,1005.8556082995657,0
2023-05-05,1096.9664966329,0
2023-05-06,1509.4130006478724,0
2023-05-07,1094.1298807613437,0
2023-05-08,1085.7428283977797,0
2023-05-09,960.9408038131849,0
2023-05-10,998.4111652209135,0
2023-05-11,1193.0361947154547,0
2023-05-12,1145.4937038717537,0
2023-05-13,1305.5226745601558,0
2023-05-14,1391.020535866341,0
2023-05-15,1222.566381411522,1
2023-05-16,864.7091712201147,0
2023-05-17,838.9468714431681,0
2023-05-18,705.6938738473909,0
2023-05-19,1413.9579061020595,0
2023-05-20,1369.7129708135383,1
2023-05-21,1724.1972002746631,1
2023-05-22,978.034687074359,0
2023-05-23,1070.1380086487106,0
2023-05-24,1150.753120464714,0
2023-05-25,1161.723371114859,0
2023-05-26,1049.3439093357138,0
2023-05-27,1265.7829382061718,0
2023-05-28,1337.1755076598988,0
2023-05-29,1011.3130045041466,0
2023-05-30,1293.4367279321689,0
2023-05-31,1129.588665922496,0
2023-06-01,1169.6702228783297,0
2023-06-02,1262.2547968181732,0
2023-06-03,1492.115009259561,0
2023-06-04,1691.9132386735812,1
2023-06-05,877.7711828685651,0
